corpusid, source, context, senseid 
278905263, chile_tech, Además presenta un sistema de copiado de transferencia electrostática en seco y un alimentador automático de originales de doble cara en configuración estándar., SIDE_00
279206286, chile_tech, Cuando se trata de aplicaciones de tipo gráfico la AcuLáser ofrece la opción de imprimir pequeños mailings y ediciones cortas como revistas internas promocionales catálogos ofertas etc. tanto en entornos corporativos como en empresas de servicios gráficos edición o impresión destacando por la flexibilidad que ofrece en el uso y manejo de el papel que puede imprimir por ambas caras., SIDE_00
279235845, chile_tech, Fibramold empresa dedicada a producir doorskins o caras de puertas y puertas adquirió el software Progression Series de Macola representado en Chile por Exxis S.A. para automatizar las áreas de Administración Comercialización y Manufactura., SIDE_00
279465863, chile_tech, Los usuarios pueden beneficiarse de las diferentes funciones de acabado tales como impresión de folletos y por ambas caras de el papel., SIDE_00
279466526, chile_tech, Todos los nuevos modelos ofrecen velocidades rápidas de impresión para su clase tanto en impresión a una cara como a doble faz produciendo la primera página en muy corto tiempo., SIDE_00
280160986, capital, Cara de avestruz, FACE_00
280174658, capital, Uno se topa con caras conocidas (el actor E.G. Marshall la escritora Elena Garro) y casi siempre  con total desconocidos abogados jueces doctores editores científicos alcaldes profesores., FACE_00
280182894, capital, Miro las caras., FACE_00
280194893, capital, El objetivo es que los estadounidenses adquieran videos ropa y regalos con la cara de Mickey y preparen sus vacaciones en los parques de atracciones a través de internet., FACE_00
280201593, capital, Sus acciones sus caras y los veredictos que consiguen para sus defendidos son las razones de que los abogados sean tan mal considerados en Estados Unidos., FACE_00
280213396, capital, Las caras nuevas son las de Sobral; Alberto Hirmas cuya familia tiene casi un 3 %; Reinaldo Solari tío de Cúneo y accionista de Falabella y Juan Bilbao que iría representando a Penta., FACE_00
280224120, capital, Entre las caras nuevas de El Mercurio destacan Jorge Lesser quien hace dos meses asumió la dirección de Empresas El Mercurio ; Felipe Lehuedé que entró en febrero a reemplazar a Manuel Labra asesor de la presidencia de el diario y de Agustín Edwards en sus negocios personales y terminó ocupando la gerencia general de el diario  tras la renuncia de Fernando Cisternas., FACE_00
280505531, capital, Todos con cara de expectación., FACE_00
280519379, capital, A lo mejor su cara de chico travieso no es para tanto., FACE_00
289607541, diario_financiero, La superficie exterior de la misma queda siempre hacia arriba y la cara interior bien protegida., SIDE_00
280947210, diario_financiero, En la otra cara de la moneda el peor desempeño y el mercado menos cotizado es Colombia., SIDE_00
281048504, diario_financiero, Se trató de la primera reunión en la cual se vieron las caras quienes por una u otra razón tienen compromisos impagos tanto con la entidad en falencia como con varios de los otros capítulos legales o no de el holding de el procesado Eduardo Monasterio., FACE_00
281048613, diario_financiero, Y aunque hubo algunas caras largas entre los acreedores más pequeños cuando se confirmó que Corfo había verificado su deuda gracias a una resolución de el ministro Patricio Villarroel lo que le dio derecho a ser acreedor a la salida no se registraron mayores comentarios sobre el punto., FACE_00
281232463, diario_financiero, Agregó que ese ha sido el debate que en estos días la opinión pública ha visto un debate que tiene dos caras. Por una parte en Chile han bajado los impuestos porque antes se pagaba un 6 % de impuestos por las cosas que se traían de Europa ahora no se paga (...) y por otra parte lo que estamos viendo es cómo vamos a buscar esos pesos para invertir los en los más modestos., SIDE_00
281309446, diario_financiero, Allí los parlamentarios DC liderados por Zaldívar dijeron en la cara a Eyzaguirre que no darían sus votos para apoyar los impuestos específicos., FACE_00
281429017, diario_financiero, Las caras sonrientes y las palabras de elogio con que el director gerente de el Fondo Monetario Internacional Horst Koehler puso fin a su visita a Argentina el mes pasado prometían una nueva era de entendimiento entre el gobierno trasandino y el organismo financiero., FACE_00
281435014, diario_financiero, Anteriormente uno hacía negocios y operaciones con gente que le veía la cara., FACE_00
281463959, diario_financiero, Sanin critica que las mujeres sobre todo las jóvenes están obligadas a demostrar que son buenas y que no ascienden por su cara bonita., FACE_00
282363589, diario_financiero, En la otra cara de la moneda los negociantes dejan para enero la búsqueda de empresas donde invertir y a el llegar esa fecha se preocupan y visitan la página web., SIDE_00
282426406, diario_financiero, La otra cara de la medalla es que es posible que la economía de los países centrales especialmente de Estados Unidos y Europa supere la fase semi recesiva de el último año y ello nos permita recuperar tasas más altas de crecimiento., SIDE_00
282464748, diario_financiero, Sin embargo la simple aparición de caras nuevas no es garantía de éxito o seriedad en la gestión futura., FACE_00
282480870, diario_financiero, El consumidor es muy preocupado de su cara y piel., FACE_00
282773242, diario_financiero, Sin embargo a mitad de el año las caras de los actores de el negocio no eran las más felices., FACE_00
283006436, diario_financiero, A medida que pasaban los minutos se podía apreciar el nerviosismo en la cara de los representantes de las administradoras dado que tras conversar con algunos tenedores de ADR se dieron cuenta que la meta de nombrar a dos directores también estaba en peligro., FACE_00
283045889, diario_financiero, Esta vez fue la primera que la veía a fines de invierno con frío y lluvia en Roma y Florencia y un viento helado que casi congelaba las pelucas caretas y caras blancas que se paseaban ceremoniosamente por la Plaza San Marcos de Venecia., FACE_00
311746626, estrella_valparaiso, El tripulante se esforzó por mantener su cara fuera de la superficie pero pronto advirtió que no podía nadar con él hasta el muelle., FACE_00
318109050, gran_valparaiso, El balde sólo le salía menos que medio y apenas alcanzaba para lavarse la cara y las manos., FACE_00
318110008, gran_valparaiso, Martita salió corriendo y fue a lavarse la cara la boca las manos el delantal chorreado y todo lo que guardaba ese olor inaguantable., FACE_00
318124115, gran_valparaiso, La señora Paulita mirando su cara sucia de lágrimas y las piernas enronchadas por los golpes movía la cabeza con desaliento e impotencia., FACE_00
318127008, gran_valparaiso, Se lavó las manos sudorosas y también la cara., FACE_00
318130371, gran_valparaiso, La Srta. María se preocupó y se fijó que la niña tenía un enorme moretón en la cara., FACE_00
318155653, gran_valparaiso, A muchas gentes ha bastado un telescopio para espantarse de la cara que vemos de la luna., SIDE_00
318159980, gran_valparaiso, Consigue los primeros resultados sobre un pergamino con tipos cúbicos y móviles de madera unidos mediante un agujero lateral y con una de sus caras en relieve., SIDE_00
318168567, gran_valparaiso, Y vulgarmente a el que ve lo que no se ve como suele también decirse  con los ojos de la cara a el que ve de ese modo se le dice que ve visiones; que ve lo que no ve o a el menos lo que solamente él está viendo y no tiene por tanto para los demás realidad alguna., FACE_00
318168621, gran_valparaiso, Los ojos de la cara no parecen que sean los mismos que los ojos de el alma a el menos a primera vista., FACE_00
318168650, gran_valparaiso, Con los ojos de la cara sólo vemos naturalmente todo lo que tenemos delante., FACE_00
318168734, gran_valparaiso, Los poetas desde Heráclito no se cansaron de comparar el tiempo metafóricamente con los ríos y a los ríos se les ve correr con los ojos de la cara., FACE_00
